(4,4)
(3.95,4)
(3.9,4)
(3.85,4)
(3.8,4)
(3.75,3.95)
(3.7,3.9)
(3.65,3.85)
(3.6,3.8)
(3.55,3.75)
(3.5,3.7)
(3.45,3.65)
(3.4,3.6)
(3.35,3.55)
(3.35,3.5)
(3.35,3.45)
(3.35,3.4)
(3.35,3.35)
(3.35,3.3)
(3.3,3.25)
(3.25,3.2)
(3.2,3.15)
(3.15,3.1)
(3.1,3.05)
(3.05,3)
(3,2.95)
(2.95,2.9)
(2.9,2.85)
(2.85,2.8)
(2.8,2.75)
(2.75,2.7)
(2.7,2.65)
(2.65,2.6)
(2.6,2.55)
(2.55,2.5)
(2.5,2.45)
(2.45,2.4)
(2.4,2.35)
(2.35,2.3)
(2.3,2.25)
(2.25,2.2)
(2.2,2.15)
(2.15,2.1)
(2.1,2.05)
(2.05,2)
(2,1.95)
(1.95,1.9)
(1.9,1.85)
(1.85,1.8)
(1.8,1.75)
(1.75,1.7)
(1.7,1.65)
(1.65,1.6)
(1.6,1.55)
(1.55,1.5)
(1.5,1.45)
(1.45,1.4)
(1.4,1.35)
(1.35,1.3)
(1.3,1.25)
(1.25,1.2)
(1.2,1.15)
(1.15,1.1)
(1.1,1.05)
(1.05,1)
(1,0.95)
(0.95,0.9)
(0.9,0.85)
(0.85,0.8)
(0.8,0.75)
(0.75,0.7)
(0.7,0.65)
(0.65,0.6)
*****************************************************
